amplicon_number	insert_chr	insert_start	insert_end	gene_name	cytoband	giestain	insert_length
AMPL50980	chr1	27057559	27057771	ARID1A	p36.11	gneg	212
AMPL70456	chr1	27087373	27087587	ARID1A	p36.11	gneg	214
AMPL87242	chr1	27092546	27092742	ARID1A	p36.11	gneg	196
AMPL87243	chr1	27097525	27097699	ARID1A	p36.11	gneg	174
AMPL87244	chr1	27099426	27099592	ARID1A	p36.11	gneg	166
AMPL41862	chr1	27099747	27099947	ARID1A	p36.11	gneg	200
AMPL87246	chr1	27100765	27100976	ARID1A	p36.11	gneg	211
AMPL87247	chr1	27105718	27105932	ARID1A	p36.11	gneg	214
AMPL87248	chr1	27106587	27106734	ARID1A	p36.11	gneg	147
AMPL87249	chr1	27106950	27107136	ARID1A	p36.11	gneg	186
AMPL87250	chr1	45292813	45292985	PTCH2	p34.1	gneg	172
AMPL81995	chr1	65338840	65339055	JAK1	p31.3	gpos50	215
AMPL87252	chr1	120458813	120458992	NOTCH2	p12	gpos50	179
AMPL87322	chr10	55568774	55568980	PCDH15	q21.1	gpos100	206
AMPL87323	chr10	55581521	55581729	PCDH15	q21.1	gpos100	208
AMPL87324	chr10	55826408	55826551	PCDH15	q21.1	gpos100	143
AMPL87325	chr10	56128747	56128951	PCDH15	q21.1	gpos100	204
AMPL70484	chr10	63759883	63760095	ARID5B	q21.2	gneg	212
AMPL56571	chr10	89717479	89717672	PTEN	q23.31	gpos75	193
AMPL70428	chr10	89720561	89720732	PTEN	q23.31	gpos75	171
AMPL87329	chr11	57576696	57576892	CTNND1	q12.1	gpos75	196
AMPL84848	chr11	64572398	64572589	MEN1	q13.1	gneg	191
AMPL87331	chr11	64573536	64573750	MEN1	q13.1	gneg	214
AMPL87332	chr11	64574358	64574572	MEN1	q13.1	gneg	214
AMPL79919	chr11	64577118	64577334	MEN1	q13.1	gneg	216
AMPL70485	chr11	108123364	108123540	TUB	q22.3	gpos100	176
AMPL70486	chr11	108138971	108139130	ATM	q22.3	gpos100	159
AMPL70487	chr11	108153437	108153642	ATM	q22.3	gpos100	205
AMPL44533	chr11	108191986	108192156	ATM	q22.3	gpos100	170
AMPL52758	chr11	108235881	108236095	ATM	q22.3	gpos100	214
AMPL70490	chr11	125502860	125503070	CHEK1	q24.2	gneg	210
AMPL70366	chr12	18793284	18793497	PIK3C2G	p12.3	gpos100	213
AMPL70367	chr12	18800822	18800948	PIK3C2G	p12.3	gpos100	126
AMPL52906	chr12	25380105	25380275	KRAS	p12.1	gpos100	170
AMPL41099	chr12	25398087	25398284	KRAS	p12.1	gpos100	197
AMPL87344	chr12	46231233	46231411	ARID2	q12	gpos100	178
AMPL87345	chr12	46244510	46244722	ARID2	q12	gpos100	212
AMPL87346	chr12	49415683	49415899	KMT2D	q13.12	gpos25	216
AMPL87347	chr12	49423980	49424194	KMT2D	q13.12	gpos25	214
AMPL56594	chr12	49434102	49434294	KMT2D	q13.12	gpos25	192
AMPL82073	chr12	49439992	49440207	KMT2D	q13.12	gpos25	215
AMPL42560	chr12	49444560	49444777	KMT2D	q13.12	gpos25	217
AMPL87351	chr12	52378822	52379019	ACVR1B	q13.13	gneg	197
AMPL87352	chr12	56481476	56481675	ERBB3	q13.2	gpos25	199
AMPL87353	chr12	133225672	133225893	POLE	q24.33	gneg	221
AMPL59905	chr12	133237565	133237762	POLE	q24.33	gneg	197
AMPL87355	chr13	32913227	32913426	BRCA2	q13.1	gpos50	199
AMPL87356	chr13	32928990	32929165	BRCA2	q13.1	gpos50	175
AMPL70371	chr13	41134675	41134889	FOXO1	q14.11	gneg	214
AMPL87358	chr14	71199881	71200038	MAP3K9	q24.2	gpos50	157
AMPL70437	chr15	41990855	41991053	MGA	q15.1	gneg	198
AMPL70372	chr15	67473512	67473729	SMAD3	q22.33	gneg	217
AMPL70373	chr15	67479593	67479810	SMAD3	q22.33	gneg	217
AMPL87362	chr15	88472435	88472632	NTRK3	q25.3	gpos50	197
AMPL87363	chr16	346978	347185	AXIN1	p13.3	gneg	207
AMPL87364	chr16	23646612	23646823	PALB2	p12.2	gneg	211
AMPL84944	chr16	65038556	65038772	CDH11	q21	gpos100	216
AMPL87366	chr16	68849409	68849577	CDH1	q22.1	gneg	168
AMPL87367	chr16	68857183	68857357	CDH1	q22.1	gneg	174
AMPL70497	chr16	89858670	89858883	FANCA	q24.3	gneg	213
AMPL40059	chr17	7572773	7572991	TP53	p13.1	gneg	218
AMPL55785	chr17	7573829	7574039	TP53	p13.1	gneg	210
AMPL45911	chr17	7576902	7577121	TP53	p13.1	gneg	219
AMPL87372	chr17	7577388	7577601	HV941486	p13.1	gneg	213
AMPL41629	chr17	7578302	7578517	TP53	p13.1	gneg	215
AMPL81699	chr17	7579315	7579509	HV941444	p13.1	gneg	194
AMPL81700	chr17	7579551	7579712	TP53	p13.1	gneg	161
AMPL87376	chr17	11984562	11984778	MAP2K4	p12	gpos75	216
AMPL87377	chr17	11998744	11998949	MAP2K4	p12	gpos75	205
AMPL70382	chr17	12016447	12016575	MAP2K4	p12	gpos75	128
AMPL87379	chr17	12032328	12032543	MAP2K4	p12	gpos75	215
AMPL87380	chr17	29661735	29661925	NF1	q11.2	gneg	190
AMPL87381	chr17	29685798	29686011	NF1	q11.2	gneg	213
AMPL87382	chr17	37881153	37881350	ERBB2	q12	gpos50	197
AMPL87383	chr17	41244119	41244332	BRCA1	q21.31	gneg	213
AMPL87384	chr17	41245435	41245590	BRCA1	q21.31	gneg	155
AMPL87385	chr17	41245757	41245945	BRCA1	q21.31	gneg	188
AMPL87386	chr17	56434930	56435090	RNF43	q22	gpos75	160
AMPL87387	chr17	56435188	56435374	RNF43	q22	gpos75	186
AMPL87388	chr17	56439744	56439945	RNF43	q22	gpos75	201
AMPL87389	chr17	56440742	56440961	RNF43	q22	gpos75	219
AMPL70385	chr17	56448126	56448321	RNF43	q22	gpos75	195
AMPL84306	chr18	48573368	48573568	SMAD4	q21.2	gpos75	200
AMPL87392	chr18	48575011	48575209	SMAD4	q21.2	gpos75	198
AMPL87393	chr18	48581164	48581300	SMAD4	q21.2	gpos75	136
AMPL87394	chr18	48584477	48584666	SMAD4	q21.2	gpos75	189
AMPL87395	chr18	48586112	48586263	SMAD4	q21.2	gpos75	151
AMPL87396	chr18	48591840	48592011	SMAD4	q21.2	gpos75	171
AMPL87397	chr18	48602826	48603046	SMAD4	q21.2	gpos75	220
AMPL70387	chr18	48604494	48604701	SMAD4	q21.2	gpos75	207
AMPL82618	chr19	1206956	1207135	STK11	p13.3	gneg	179
AMPL44665	chr19	1220245	1220464	STK11	p13.3	gneg	219
AMPL70390	chr19	10252752	10252940	DNMT1	p13.2	gpos25	188
AMPL70499	chr19	10270548	10270755	DNMT1	p13.2	gpos25	207
AMPL87403	chr19	11096834	11097050	SMARCA4	p13.2	gpos25	216
AMPL87404	chr19	11143894	11144113	SMARCA4	p13.2	gpos25	219
AMPL50677	chr19	17954035	17954219	JAK3	p13.11	gneg	184
AMPL87406	chr19	47424869	47425020	ARHGAP35	q13.32	gpos25	151
AMPL87407	chr19	47425154	47425365	ARHGAP35	q13.32	gpos25	211
AMPL41019	chr2	25457043	25457255	DNMT3A	p23.3	gneg	212
AMPL87254	chr2	25463058	25463271	DNMT3A	p23.3	gneg	213
AMPL87255	chr2	25466953	25467126	DNMT3A	p23.3	gneg	173
AMPL87256	chr2	25470315	25470521	DNMT3A	p23.3	gneg	206
AMPL70461	chr2	25976271	25976451	ASXL2	p23.3	gneg	180
AMPL70462	chr2	25994178	25994391	ASXL2	p23.3	gneg	213
AMPL70463	chr2	26022113	26022318	ASXL2	p23.3	gneg	205
